Run,Num UAVs,Av Vel,StdVel,LF Time,Sep St,blank,bl,bl2,Metal,NMAC Secs,Objectives,Column13,,
1,175,0.003,0.0003,300,0.5,0,0,0,3085,2.46E+06,23316,0,,246320
2,212.5,0.0025,0.0002,225,0.3,0,0,0,4214,3.41E+06,25074,0,,341120
3,100,0.002,0.0001,225,0.7,0,0,0,7999,8.52E+05,8917,0,,85206
4,250,0.002,0.0001,150,0.6,0,0,0,3947,4.51E+06,23235,0,,450890
5,250,0.0025,0.0001,450,0.3,0,0,0,6226,4.54E+06,28879,0,,454050
6,100,0.0025,0.0004,450,0.4,0,0,0,6675,8.52E+05,11580,0,,85246
7,100,0.0035,0.0005,225,0.7,0,0,0,2687,8.42E+05,15013,0,,84190
8,137.5,0.002,0.0002,450,0.6,0,0,0,1237,1.53E+06,11960,0,,152530
9,175,0.003,0.0003,300,0.5,0,0,0,3085,2.46E+06,23316,0,,246320
10,137.5,0.0025,0.0004,150,0.6,0,0,0,1632,1.52E+06,15737,0,,152240
12,100,0.002,0.0001,150,0.4,0,0,0,889,8.28E+05,9186,0,,82777
13,250,0.004,0.0004,225,0.6,0,0,0,6746,4.72E+06,42426,0,,471790
14,100,0.002,0.0005,375,0.7,0,0,0,685,8.25E+05,9096,0,,82460
15,100,0.004,0.0004,450,0.6,0,0,0,17621,9.21E+05,13269,0,,92087
16,212.5,0.0025,0.0001,375,0.7,0,0,0,3213,3.67E+06,22313,0,,366920
17,212.5,0.004,0.0001,225,0.6,0,0,0,6417,3.54E+06,35923,0,,354370
18,100,0.004,0.0004,150,0.4,0,0,0,1723,8.09E+05,18334,0,,80934
19,100,0.002,0.0001,375,0.3,0,0,0,793,8.24E+05,9345,0,,82392
20,137.5,0.0025,0.0002,225,0.3,0,0,0,1810,1.51E+06,16057,0,,151080
22,175,0.003,0.0003,300,0.5,0,0,0,3085,2.46E+06,23316,0,,246320
23,100,0.004,0.0002,300,0.3,0,0,0,1979,8.27E+05,18328,0,,82680
25,250,0.0035,0.0002,150,0.7,0,0,0,13309,4.46E+06,37751,0,,446060
26,250,0.0035,0.0004,375,0.3,0,0,0,7886,4.60E+06,40180,0,,460080
28,250,0.002,0.0004,150,0.3,0,0,0,7775,4.53E+06,23326,0,,453040
29,212.5,0.002,0.0002,375,0.4,0,0,0,18814,3.42E+06,19650,0,,342090
30,137.5,0.0035,0.0005,375,0.3,0,0,0,2054,1.54E+06,22104,0,,154430
31,137.5,0.004,0.0001,450,0.4,0,0,0,16553,1.71E+06,23294,0,,171410
32,137.5,0.0035,0.0001,225,0.4,0,0,0,15288,1.46E+06,21385,0,,146190
33,212.5,0.004,0.0005,450,0.4,0,0,0,7039,3.94E+06,32591,0,,393710
34,100,0.0035,0.0001,450,0.6,0,0,0,799,8.90E+05,12374,0,,89026
35,250,0.004,0.0002,150,0.4,0,0,0,10884,4.40E+06,45265,0,,439700
36,100,0.004,0.0002,150,0.6,0,0,0,12398,7.97E+05,17595,0,,79688
37,250,0.002,0.0004,450,0.7,0,0,0,3509,4.71E+06,21002,0,,471160
38,212.5,0.004,0.0001,375,0.3,0,0,0,7576,3.40E+06,38425,0,,340310
39,100,0.002,0.0005,225,0.4,0,0,0,906,8.10E+05,9576,0,,81032
40,212.5,0.002,0.0004,450,0.3,0,0,0,14629,3.42E+06,20013,0,,341640
41,212.5,0.002,0.0005,225,0.7,0,0,0,2768,3.39E+06,19063,0,,338620
42,212.5,0.0035,0.0005,150,0.3,0,0,0,4987,3.40E+06,34514,0,,339960
